House for Sale,2,1,nan,"$299,000"
Condos,2,1.5,nan,"$320,000"
Multi-Family Home,6,3,nan,"$949,000"
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
Co-op,2,1,nan,"$689,000"
House for Sale,3,2,"1,240","$1,050,000"
Co-op,1,1,700,"$259,000"
House for Sale,3,2.5,"2,160","$889,000"
Multi-Family Home,0,6,"5,460","$1,285,000"
Multi-Family Home,8,3,"2,916","$1,199,999"
Multi-Family Home,2,4,nan,"$1,350,000"
Co-op,3,2,nan,"$1,950,000"
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
Co-op,1,1,nan,"$599,000"
Multi-Family Home,nan,3,"2,916","$1,199,999"
Co-op,0,1,450,"$199,000"
Condos,2,2,"1,143","$364,640"
House for Sale,3,1.5,"1,700","$979,000"
Multi-Family Home,3,1,"6,300","$775,000"
Condos,2,1.5,"1,285","$995,000"
Multi-Family Home,5,4.5,"3,760","$3,995,000"
Condos,2,2,827,"$875,000"
Multi-Family Home,4,4,"3,872","$3,600,000"
Condos,2,2.5,"1,939","$1,295,000"
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
Multi-Family Home,3,3,"2,376","$1,875,000"
Multi-Family Home,10,3.5,nan,"$1,699,000"
Condos,3,3,nan,"$2,800,000"
House for Sale,nan,nan,"2,200","$1,500,000"
Multi-Family Home,0,nan,nan,"$879,000"
House for Sale,5,3.5,nan,"$2,250,000"
Co-op,0,1,450,"$239,000"
Townhomes,3,3,"2,200","$1,200,000"
Multi-Family Home,8,3,"3,509","$2,200,000"
Townhomes,3,2,nan,"$1,159,000"
Condos,4,3,"1,334","$1,295,000"
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
Condos,2,2,924,"$899,000"
Condos,1,1,767,"$985,000"
Condos,2,2.5,"1,185","$2,400,000"
Townhomes,8,4,"3,504","$1,450,000"
House for Sale,8,3,"3,509","$2,200,000"
House for Sale,nan,nan,"2,427","$1,800,000"
Multi-Family Home,5,3,"1,952","$1,149,000"
House for Sale,3,2.5,"2,016","$1,750,000"
Condos,0,nan,nan,"$1,150,000"
Condos,nan,nan,"3,900","$3,295,000"
Condos,1,1,723,"$1,245,000"
nan,nan,nan,nan,nan
House for Sale,2,1,nan,"$299,000"
Condos,2,1.5,nan,"$320,000"
Multi-Family Home,6,3,nan,"$949,000"
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
Co-op,2,1,nan,"$689,000"
House for Sale,3,2,"1,240","$1,050,000"
Co-op,1,1,700,"$259,000"
House for Sale,3,2.5,"2,160","$889,000"
Multi-Family Home,0,6,"5,460","$1,285,000"
Multi-Family Home,8,3,"2,916","$1,199,999"
Multi-Family Home,2,4,nan,"$1,350,000"
Co-op,3,2,nan,"$1,950,000"
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
Co-op,1,1,nan,"$599,000"
Multi-Family Home,nan,3,"2,916","$1,199,999"
Co-op,0,1,450,"$199,000"
Condos,2,2,"1,143","$364,640"
House for Sale,3,1.5,"1,700","$979,000"
Multi-Family Home,3,1,"6,300","$775,000"
Condos,2,1.5,"1,285","$995,000"
Multi-Family Home,5,4.5,"3,760","$3,995,000"
Condos,2,2,827,"$875,000"
Multi-Family Home,4,4,"3,872","$3,600,000"
Condos,2,2.5,"1,939","$1,295,000"
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
Multi-Family Home,3,3,"2,376","$1,875,000"
Multi-Family Home,10,3.5,nan,"$1,699,000"
Condos,3,3,nan,"$2,800,000"
House for Sale,nan,nan,"2,200","$1,500,000"
Multi-Family Home,0,nan,nan,"$879,000"
House for Sale,5,3.5,nan,"$2,250,000"
Co-op,0,1,450,"$239,000"
Townhomes,3,3,"2,200","$1,200,000"
Multi-Family Home,8,3,"3,509","$2,200,000"
Townhomes,3,2,nan,"$1,159,000"
Condos,4,3,"1,334","$1,295,000"
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
Condos,2,2,924,"$899,000"
Condos,1,1,767,"$985,000"
Condos,2,2.5,"1,185","$2,400,000"
Townhomes,8,4,"3,504","$1,450,000"
House for Sale,8,3,"3,509","$2,200,000"
House for Sale,nan,nan,"2,427","$1,800,000"
Multi-Family Home,5,3,"1,952","$1,149,000"
House for Sale,3,2.5,"2,016","$1,750,000"
Condos,0,nan,nan,"$1,150,000"
Condos,nan,nan,"3,900","$3,295,000"
Condos,1,1,723,"$1,245,000"
nan,nan,nan,nan,nan
House for Sale,2,1,nan,"$299,000"
Condos,2,1.5,nan,"$320,000"
Multi-Family Home,6,3,nan,"$949,000"
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
Co-op,2,1,nan,"$689,000"
House for Sale,3,2,"1,240","$1,050,000"
Co-op,1,1,700,"$259,000"
House for Sale,3,2.5,"2,160","$889,000"
Multi-Family Home,0,6,"5,460","$1,285,000"
Multi-Family Home,8,3,"2,916","$1,199,999"
Multi-Family Home,2,4,nan,"$1,350,000"
Co-op,3,2,nan,"$1,950,000"
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
Co-op,1,1,nan,"$599,000"
Multi-Family Home,nan,3,"2,916","$1,199,999"
Co-op,0,1,450,"$199,000"
Condos,2,2,"1,143","$364,640"
House for Sale,3,1.5,"1,700","$979,000"
Multi-Family Home,3,1,"6,300","$775,000"
Condos,2,1.5,"1,285","$995,000"
Multi-Family Home,5,4.5,"3,760","$3,995,000"
Condos,2,2,827,"$875,000"
Multi-Family Home,4,4,"3,872","$3,600,000"
Condos,2,2.5,"1,939","$1,295,000"
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
Multi-Family Home,3,3,"2,376","$1,875,000"
Multi-Family Home,10,3.5,nan,"$1,699,000"
Condos,3,3,nan,"$2,800,000"
House for Sale,nan,nan,"2,200","$1,500,000"
Multi-Family Home,0,nan,nan,"$879,000"
House for Sale,5,3.5,nan,"$2,250,000"
Co-op,0,1,450,"$239,000"
Townhomes,3,3,"2,200","$1,200,000"
Multi-Family Home,8,3,"3,509","$2,200,000"
Townhomes,3,2,nan,"$1,159,000"
Condos,4,3,"1,334","$1,295,000"
nan,nan,nan,nan,nan
nan,nan,nan,nan,nan
Condos,2,2,924,"$899,000"
Condos,1,1,767,"$985,000"
Condos,2,2.5,"1,185","$2,400,000"
Townhomes,8,4,"3,504","$1,450,000"
House for Sale,8,3,"3,509","$2,200,000"
