Bath,Bed,Price,Property,Sqft
1,1,"$545,000",Co-op,615
1,1,"$699,000",Co-op,
1,2,"$325,000",Co-op,
1,0,"$459,000",Co-op,
2,1,"$799,000",Co-op,800
1,0,"$729,000",Condos,436
1,1,"$749,000",Co-op,775
3,2,"$1,499,000",Co-op,
2,0,"$1,849,000",Condos,"1,892"
1,0,"$699,000",Condos,441
1,1,"$435,000",Co-op,
2,2,"$2,200,000",House for Sale,
1,1,"$550,000",Co-op,
1,1,"$795,000",Condos,850
1,1,"$785,000",Co-op,
2,2,"$985,000",Co-op,
1,1,"$720,000",Co-op,742
1,1,"$750,000",Condos,750
2,2,"$918,000",Condos,"1,023"
2,2,"$2,495,000",Condos,"1,324"
2,2,"$829,000",Condos,883
1,1,"$850,000",Condos,627
2,2,"$1,200,000",Co-op,
2,3,"$1,690,000",Co-op,"1,430"
1,1,"$1,995,000",Condos,774
1,1,"$695,000",Condos,599
1,1,"$1,150,000",Co-op,
2,3,"$5,000,000",Co-op,"3,000"
1,0,"$799,000",Condos,437
4,8,"$2,300,000",Townhomes,"3,036"
1,1,"$1,395,000",Condos,726
1,1,"$900,000",Co-op,860
1,2,"$1,295,000",Co-op,
2.5,2,"$5,260,000",Condos,"1,882"
2,2,"$1,895,000",Condos,"1,385"
2.5,3,"$3,350,000",Co-op,
2,2,"$1,595,000",Condos,"1,141"
1,1,"$1,179,000",Condos,930
3,2,"$5,450,000",Condos,"2,034"
1,,"$700,000",Co-op,
,0,"$5,495,000",House for Sale,
4.5,4,"$8,025,000",Condos,"3,078"
2.5,3,"$4,475,000",Condos,"1,903"
1,0,"$825,000",Condos,533
1,2,"$625,000",Co-op,
1,1,"$700,000",Co-op,
2,3,"$995,000",Condos,
1,0,"$515,000",Co-op,400
1,0,"$699,000",Co-op,600
1,3,"$460,000",Co-op,
2,2,"$2,150,000",Co-op,"1,400"
1,0,"$630,000",Co-op,
1,2,"$649,000",Condos,
2,2,"$1,325,000",Co-op,
1,2,"$1,150,000",Co-op,
2,2,"$1,795,000",Condos,"1,016"
1,0,"$495,000",Co-op,550
5.5,5,"$11,900,000",Condos,"4,162"
2,2,"$1,599,000",Co-op,
1,2,"$1,575,000",Condos,
3.5,3,"$4,200,000",Condos,"2,035"
1,0,"$575,000",Co-op,500
1,1,"$725,000",Co-op,
4,3,"$3,500,000",Co-op,
1,1,"$895,000",Co-op,
5.5,5,"$8,250,000",Co-op,
3,3,"$3,325,000",Condos,"1,712"
1,1,"$1,675,000",Co-op,900
4.5,5,"$6,350,000",Co-op,
3,4,"$5,900,000",Condo,
3.5,3,"$6,600,000",Co-op,"3,175"
4.5,3,"$10,000,000",Co-op,
1,2,"$699,000",Condos,993
1,2,"$1,295,000",Co-op,
3.5,4,"$2,600,000",Condos,"2,100"
3.5,3,"$9,595,000",Condos,"2,895"
2.5,2,"$2,200,000",Co-op,
3,2,"$2,790,000",Condos,
4,4,"$10,000,000",Condos,"3,180"
2,2,"$2,600,000",Condos,"1,172"
4.5,5,"$5,495,000",House for Sale,
1,1,"$1,385,000",Co-op,
2,3,"$3,000,000",Co-op,
6.5+,5,"$13,995,000",House for Sale,"7,100"
1,1,"$1,399,000",Condos,
2.5,2,"$6,500,000",Condos,"2,170"
3,3,"$4,450,000",Condos,"2,175"
5.5,5,"$12,950,000",Condos,"6,166"
2,2,"$575,000",Co-op,
1,1,"$430,000",Condos,
1,1,"$550,000",Co-op,
2,2,"$1,190,000",Co-op,
1,1,"$749,000",Co-op,
1,1,"$495,000",Co-op,800
1,1,"$535,000",Co-op,
1,1,"$525,000",Co-op,625
1,1,"$585,000",Co-op,800
1,0,"$649,000",Co-op,
2,2,"$1,099,000",Co-op,
4,4,"$2,298,000",Co-op,
1.5,1,"$1,720,000",Condos,
2,1,"$725,000",Co-op,925
1,0,"$465,000",Co-op,
2,2,"$1,440,000",Co-op,
2,1,"$1,249,000",Co-op,
2,2,"$2,295,000",Co-op,
1,1,"$850,000",Co-op,712
2,1,"$1,280,000",Condos,956
1,0,"$425,000",Co-op,
1,1,"$930,000",Co-op,
1,1,"$1,150,000",Condos,851
1,2,"$770,000",Condos,"1,027"
1,2,"$1,425,000",Co-op,"1,300"
1,1,"$750,000",Co-op,
2,1,"$1,595,000",Condos,
1,0,"$519,000",Co-op,500
4,4,"$5,595,000",Co-op,
2,2,"$1,795,000",Condos,"1,314"
1,3,"$3,250,000",Co-op,
1,0,"$575,000",Condos,571
1,1,"$1,180,000",Condos,
1.5,1,"$1,225,000",Condos,979
1,1,"$1,195,000",Condos,850
1.5,2,"$1,995,000",Co-op,
2,2,"$2,200,000",Condos,"1,350"
1,1,"$750,000",Condos,801
4,4,"$5,500,000",Condos,"3,047"
1,1,"$975,000",Condos,
1.5,1,"$4,250,000",Condos,"1,060"
1,1,"$1,495,000",Co-op,950
1,0,"$650,000",Condos,573
2,2,"$2,145,000",Condos,"2,094"
1,1,"$415,000",Co-op,
1,0,"$575,000",Co-op,
1,0,"$899,000",Co-op,
1,0,"$510,000",Co-op,
1,1,"$585,000",Co-op,
1,1,"$925,000",Co-op,
1,0,"$535,000",Co-op,
1,1,"$740,000",Co-op,
4.5,5,"$20,000,000",Condos,"4,500"
1,0,"$349,000",Co-op,
2,3,"$1,795,000",Condop,
1,0,"$725,000",Co-op,
2,2,"$1,750,000",Co-op,
1,1,"$499,999",Co-op,
1,,"$624,500",Condo,
4.5,4,"$7,000,000",Co-op,
2,2,"$1,099,000",Co-op,"1,200"
2,2,"$1,499,000",Co-op,
1,,"$349,000",Co-op,
2,3,"$1,425,000",Co-op,
2,2,"$1,795,000",Condos,"1,300"
1,2,"$995,000",Co-op,"1,000"
2,3,"$1,595,000",Co-op,"1,700"
2,2,"$1,950,000",Condos,"1,374"
1,,"$375,000",Co-op,
2,3,"$1,475,000",Co-op,
2.5,3,"$3,995,000",Condos,"2,202"
2,2,"$1,375,000",Condos,"1,347"
1,1,"$549,000",Co-op,750
1,2,"$1,195,000",Co-op,
1,1,"$960,000",Condos,708
1,2,"$749,000",Co-op,950
3,3,"$2,795,000",Co-op,"2,200"
